instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,Alter,"Geschlecht (m, w, d)",date,expName,psychopyVersion,OS,frameRate,task_description.started,task_description.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,practice.started,practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,fixation.started,fixation.stopped,trial.started,trial.stopped,key_resp_5.keys,gamble_reps.thisRepN,gamble_reps.thisTrialN,gamble_reps.thisN,gamble_reps.thisIndex,gamble_reps.ran,gain_practice,loss_practice,trial_end.started,trial_end.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,teil_eins.started,teil_eins.stopped,key_resp_one.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,gain1,loss1,pause1.started,pause1.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,teil_zwei.started,teil_zwei.stopped,key_resp_two.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,gain2,loss2,key_resp_two.rt,key_resp_two.duration,pause2.started,pause2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,teil_drei.started,teil_drei.stopped,key_resp_three.keys,key_resp_three.rt,key_resp_three.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,gain3,loss3,transition.started,transition.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,survey.block_1/question1.I have healthy boundaries.,survey.block_1/question1.I have a lot of self-care.,"survey.block_1/question1.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question1.I balance my own needs with the needs of others.,survey.block_1/question1.I advocate for my own needs.,"survey.block_1/question1.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question1.Even though I give a lot to others, I know when to recharge.","survey.block_1/question1.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question1.I take good care of myself.,survey.block_1/question1.I prioritize my own personal projects over the demands of others.,survey.block_1/question3.I have healthy boundaries.,survey.block_1/question3.I have a lot of self-care.,"survey.block_1/question3.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question3.I balance my own needs with the needs of others.,survey.block_1/question3.I advocate for my own needs.,"survey.block_1/question3.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question3.Even though I give a lot to others, I know when to recharge.","survey.block_1/question3.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question3.I take good care of myself.,survey.block_1/question3.I prioritize my own personal projects over the demands of others.,survey.block_1/question4.I have healthy boundaries.,survey.block_1/question4.I have a lot of self-care.,"survey.block_1/question4.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question4.I balance my own needs with the needs of others.,survey.block_1/question4.I advocate for my own needs.,"survey.block_1/question4.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question4.Even though I give a lot to others, I know when to recharge.","survey.block_1/question4.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question4.I take good care of myself.,survey.block_1/question4.I prioritize my own personal projects over the demands of others.,end.started,end.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,51.889,52.936,48.881,51.889,,0,6,6,5,1,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,55.942,56.991,52.936,55.942,,0,7,7,7,1,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,60,61.054,56.991,60,,0,8,8,4,1,36,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,64.07,65.115,61.054,64.07,,0,9,9,2,1,24,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,,,,,,,,,,,,,65.118,68.708,space,3.558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,68.709,69.747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,72.761,73.804,,,,,,,,,,,,,,,,69.75,72.761,,0,0,0,35,1,32,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,76.82,77.867,,,,,,,,,,,,,,,,73.804,76.82,,0,1,1,7,1,28,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,80.882,81.932,,,,,,,,,,,,,,,,77.867,80.882,,0,2,2,30,1,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,84.935,85.978,,,,,,,,,,,,,,,,81.932,84.935,,0,3,3,3,1,10,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,88.981,90.027,,,,,,,,,,,,,,,,85.979,88.981,,0,4,4,1,1,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,93.034,94.08,,,,,,,,,,,,,,,,90.027,93.034,,0,5,5,20,1,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,97.094,98.143,,,,,,,,,,,,,,,,94.08,97.094,,0,6,6,8,1,34,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,101.15,102.203,,,,,,,,,,,,,,,,98.143,101.15,,0,7,7,40,1,40,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,105.204,106.244,,,,,,,,,,,,,,,,102.203,105.204,,0,8,8,15,1,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,109.253,110.298,,,,,,,,,,,,,,,,106.244,109.253,,0,9,9,27,1,30,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,113.302,114.354,,,,,,,,,,,,,,,,110.298,113.302,,0,10,10,24,1,40,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,117.367,118.413,,,,,,,,,,,,,,,,114.354,117.367,,0,11,11,22,1,34,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,121.426,122.478,,,,,,,,,,,,,,,,118.413,121.426,,0,12,12,10,1,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,125.49,126.536,,,,,,,,,,,,,,,,122.478,125.49,,0,13,13,41,1,22,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,129.54,130.586,,,,,,,,,,,,,,,,126.536,129.54,,0,14,14,14,1,26,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,133.592,134.629,,,,,,,,,,,,,,,,130.586,133.592,,0,15,15,26,1,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,137.637,138.675,,,,,,,,,,,,,,,,134.63,137.637,,0,16,16,0,1,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,141.677,142.727,,,,,,,,,,,,,,,,138.675,141.676,,0,17,17,16,1,36,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,145.729,146.768,,,,,,,,,,,,,,,,142.728,145.729,,0,18,18,17,1,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,149.777,150.826,,,,,,,,,,,,,,,,146.768,149.777,,0,19,19,25,1,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,153.829,154.872,,,,,,,,,,,,,,,,150.826,153.829,,0,20,20,12,1,18,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,157.875,158.912,,,,,,,,,,,,,,,,154.872,157.875,,0,21,21,34,1,24,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,161.914,162.954,,,,,,,,,,,,,,,,158.912,161.914,,0,22,22,6,1,16,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,165.956,167.006,,,,,,,,,,,,,,,,162.955,165.956,,0,23,23,32,1,36,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,170.026,171.08,,,,,,,,,,,,,,,,167.006,170.026,,0,24,24,18,1,24,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,174.082,175.128,,,,,,,,,,,,,,,,171.08,174.082,,0,25,25,2,1,32,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,178.132,179.17,,,,,,,,,,,,,,,,175.128,178.132,,0,26,26,9,1,22,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,182.172,183.218,,,,,,,,,,,,,,,,179.171,182.172,,0,27,27,13,1,40,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,186.225,187.273,,,,,,,,,,,,,,,,183.218,186.225,,0,28,28,42,1,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,190.28,191.332,,,,,,,,,,,,,,,,187.273,190.28,,0,29,29,5,1,38,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,194.343,195.39,,,,,,,,,,,,,,,,191.332,194.342,,0,30,30,28,1,26,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,198.392,199.446,,,,,,,,,,,,,,,,195.39,198.392,,0,31,31,37,1,28,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,202.455,203.492,,,,,,,,,,,,,,,,199.446,202.455,,0,32,32,19,1,32,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,206.511,207.549,,,,,,,,,,,,,,,,203.493,206.511,,0,33,33,36,1,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,210.568,211.619,,,,,,,,,,,,,,,,207.549,210.568,,0,34,34,39,1,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,214.621,215.665,,,,,,,,,,,,,,,,211.619,214.621,,0,35,35,23,1,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,218.683,219.738,,,,,,,,,,,,,,,,215.665,218.683,,0,36,36,4,1,24,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,222.741,223.781,,,,,,,,,,,,,,,,219.738,222.741,,0,37,37,21,1,28,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18265,001,25,w,2026-07-07_20h26.18.762,Mixed_Gamble_Task,2026.1.3,MacIntel,55.55555556,,,,,,,,,,,226.789,227.843,,,,,,,,,,,,,,,,223.781,226.789,,0,38,38,33,1,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
