instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,Alter,"Geschlecht (m, w, d)",date,expName,psychopyVersion,OS,frameRate,task_description.started,task_description.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,practice.started,practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,fixation.started,fixation.stopped,trial.started,trial.stopped,key_resp_5.keys,gamble_reps.thisRepN,gamble_reps.thisTrialN,gamble_reps.thisN,gamble_reps.thisIndex,gamble_reps.ran,gain_practice,loss_practice,key_resp_5.rt,key_resp_5.duration,trial_end.started,trial_end.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,teil_eins.started,teil_eins.stopped,key_resp_one.keys,key_resp_one.rt,key_resp_one.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,gain1,loss1,pause1.started,pause1.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,teil_zwei.started,teil_zwei.stopped,key_resp_two.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,gain2,loss2,key_resp_two.rt,key_resp_two.duration,pause2.started,pause2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,teil_drei.started,teil_drei.stopped,key_resp_three.keys,key_resp_three.rt,key_resp_three.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,gain3,loss3,transition.started,transition.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,survey.block_1/question1.I have healthy boundaries.,survey.block_1/question1.I have a lot of self-care.,"survey.block_1/question1.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question1.I balance my own needs with the needs of others.,survey.block_1/question1.I advocate for my own needs.,"survey.block_1/question1.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question1.Even though I give a lot to others, I know when to recharge.","survey.block_1/question1.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question1.I take good care of myself.,survey.block_1/question1.I prioritize my own personal projects over the demands of others.,survey.block_1/question3.I have healthy boundaries.,survey.block_1/question3.I have a lot of self-care.,"survey.block_1/question3.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question3.I balance my own needs with the needs of others.,survey.block_1/question3.I advocate for my own needs.,"survey.block_1/question3.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question3.Even though I give a lot to others, I know when to recharge.","survey.block_1/question3.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question3.I take good care of myself.,survey.block_1/question3.I prioritize my own personal projects over the demands of others.,survey.block_1/question4.I have healthy boundaries.,survey.block_1/question4.I have a lot of self-care.,"survey.block_1/question4.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question4.I balance my own needs with the needs of others.,"survey.block_1/question4.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question4.Even though I give a lot to others, I know when to recharge.",survey.block_1/question4.I advocate for my own needs.,"survey.block_1/question4.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question4.I take good care of myself.,survey.block_1/question4.I prioritize my own personal projects over the demands of others.,end.started,end.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,69.778,70.827,66.761,69.778,,0,6,6,1,1,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,73.186,74.226,70.827,73.186,1,0,7,7,4,1,36,18,2.345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,76.6,77.641,74.226,76.6,1,0,8,8,2,1,24,14,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,79.051,80.09,77.642,79.05,1,0,9,9,6,1,28,16,1.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,,,,,,,,,,,,,,,80.097,84.564,space,4.443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,84.564,85.606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,88.281,89.321,,,,,,,,,,,,,,,,,,85.61,88.281,1,2.642,,0,0,0,6,1,16,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,91.464,92.503,,,,,,,,,,,,,,,,,,89.321,91.463,3,2.13,,0,1,1,41,1,22,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,94.562,95.603,,,,,,,,,,,,,,,,,,92.504,94.562,1,2.045,,0,2,2,1,1,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,96.978,98.018,,,,,,,,,,,,,,,,,,95.603,96.977,3,1.362,,0,3,3,16,1,36,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,100.577,101.617,,,,,,,,,,,,,,,,,,98.019,100.577,2,2.545,,0,4,4,18,1,24,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,104.635,105.683,,,,,,,,,,,,,,,,,,101.617,104.635,,,,0,5,5,15,1,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,108.491,109.531,,,,,,,,,,,,,,,,,,105.683,108.491,4,2.795,,0,6,6,38,1,34,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,112.091,113.13,,,,,,,,,,,,,,,,,,109.532,112.091,3,2.545,,0,7,7,14,1,26,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,114.104,115.146,,,,,,,,,,,,,,,,,,113.131,114.104,4,0.961,,0,8,8,40,1,40,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,116.471,117.512,,,,,,,,,,,,,,,,,,115.147,116.471,4,1.312,,0,9,9,9,1,22,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,119.969,121.011,,,,,,,,,,,,,,,,,,117.513,119.969,4,2.443,,0,10,10,29,1,38,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,122.921,123.96,,,,,,,,,,,,,,,,,,121.011,122.921,1,1.897,,0,11,11,10,1,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,125.203,126.243,,,,,,,,,,,,,,,,,,123.96,125.202,3,1.231,,0,12,12,28,1,26,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,127.616,128.659,,,,,,,,,,,,,,,,,,126.244,127.616,2,1.36,,0,13,13,39,1,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,130.533,131.574,,,,,,,,,,,,,,,,,,128.659,130.533,4,1.862,,0,14,14,34,1,24,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,132.866,133.907,,,,,,,,,,,,,,,,,,131.575,132.866,1,1.279,,0,15,15,33,1,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,136.923,137.973,,,,,,,,,,,,,,,,,,133.907,136.923,,,,0,16,16,0,1,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,140.263,141.305,,,,,,,,,,,,,,,,,,137.974,140.263,3,2.277,,0,17,17,30,1,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,142.914,143.954,,,,,,,,,,,,,,,,,,141.305,142.914,3,1.596,,0,18,18,12,1,18,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,144.945,145.987,,,,,,,,,,,,,,,,,,143.955,144.944,4,0.977,,0,19,19,8,1,34,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,147.395,148.436,,,,,,,,,,,,,,,,,,145.987,147.395,3,1.395,,0,20,20,20,1,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,150.709,151.752,,,,,,,,,,,,,,,,,,148.436,150.709,4,2.26,,0,21,21,19,1,32,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,153.477,154.517,,,,,,,,,,,,,,,,,,151.752,153.477,3,1.713,,0,22,22,23,1,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,155.858,156.9,,,,,,,,,,,,,,,,,,154.517,155.858,4,1.33,,0,23,23,37,1,28,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,157.842,158.883,,,,,,,,,,,,,,,,,,156.9,157.842,4,0.93,,0,24,24,32,1,36,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,160.058,161.098,,,,,,,,,,,,,,,,,,158.883,160.058,3,1.163,,0,25,25,36,1,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,163.341,164.381,,,,,,,,,,,,,,,,,,161.098,163.341,3,2.23,,0,26,26,42,1,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,165.371,166.413,,,,,,,,,,,,,,,,,,164.382,165.371,3,0.977,,0,27,27,11,1,30,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,167.172,168.213,,,,,,,,,,,,,,,,,,166.414,167.172,3,0.745,,0,28,28,27,1,30,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,169.187,170.229,,,,,,,,,,,,,,,,,,168.214,169.187,3,0.96,,0,29,29,26,1,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,171.321,172.362,,,,,,,,,,,,,,,,,,170.23,171.321,4,1.079,,0,30,30,21,1,28,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,173.352,174.395,,,,,,,,,,,,,,,,,,172.362,173.351,4,0.978,,0,31,31,4,1,24,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,175.436,176.477,,,,,,,,,,,,,,,,,,174.395,175.436,4,1.029,,0,32,32,25,1,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,177.468,178.509,,,,,,,,,,,,,,,,,,176.478,177.468,3,0.978,,0,33,33,31,1,14,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,180.034,181.075,,,,,,,,,,,,,,,,,,178.51,180.034,4,1.513,,0,34,34,13,1,40,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9214,001,26,w ,2026-07-06_19h05.13.250,Mixed_Gamble_Task,2026.1.3,MacIntel,47.61904762,,,,,,,,,,,182.233,183.275,,,,,,,,,,,,,,,,,,181.076,182.233,4,1.146,,0,35,35,22,1,34,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
