instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,Alter,"Geschlecht (m, w, d)",date,expName,psychopyVersion,OS,frameRate,task_description.started,task_description.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,practice.started,practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,fixation.started,fixation.stopped,trial.started,trial.stopped,key_resp_5.keys,gamble_reps.thisRepN,gamble_reps.thisTrialN,gamble_reps.thisN,gamble_reps.thisIndex,gamble_reps.ran,gain_practice,loss_practice,key_resp_5.rt,key_resp_5.duration,trial_end.started,trial_end.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,teil_eins.started,teil_eins.stopped,key_resp_one.keys,key_resp_one.rt,key_resp_one.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,gain1,loss1,pause1.started,pause1.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,teil_zwei.started,teil_zwei.stopped,key_resp_two.keys,key_resp_two.rt,key_resp_two.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,gain2,loss2,pause2.started,pause2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,teil_drei.started,teil_drei.stopped,key_resp_three.keys,key_resp_three.rt,key_resp_three.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,gain3,loss3,transition.started,transition.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,survey.block_1/question1.I have healthy boundaries.,survey.block_1/question1.I have a lot of self-care.,survey.block_1/question1.I balance my own needs with the needs of others.,"survey.block_1/question1.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question1.I advocate for my own needs.,"survey.block_1/question1.Even though I give a lot to others, I know when to recharge.","survey.block_1/question1.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question1.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question1.I take good care of myself.,survey.block_1/question1.I prioritize my own personal projects over the demands of others.,survey.block_1/question3.I have healthy boundaries.,survey.block_1/question3.I have a lot of self-care.,"survey.block_1/question3.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question3.I balance my own needs with the needs of others.,survey.block_1/question3.I advocate for my own needs.,"survey.block_1/question3.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question3.Even though I give a lot to others, I know when to recharge.","survey.block_1/question3.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question3.I take good care of myself.,survey.block_1/question3.I prioritize my own personal projects over the demands of others.,survey.block_1/question4.I have healthy boundaries.,survey.block_1/question4.I have a lot of self-care.,"survey.block_1/question4.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question4.I balance my own needs with the needs of others.,survey.block_1/question4.I advocate for my own needs.,"survey.block_1/question4.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question4.Even though I give a lot to others, I know when to recharge.","survey.block_1/question4.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question4.I take good care of myself.,survey.block_1/question4.I prioritize my own personal projects over the demands of others.,end.started,end.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,61.755,62.788,59.523,61.755,3,0,6,6,4,1,36,18,2.213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,63.997,65.054,62.788,63.997,3,0,7,7,5,1,20,10,1.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,66.52,67.553,65.054,66.52,3,0,8,8,6,1,28,16,1.446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,68.919,69.952,67.553,68.919,4,0,9,9,9,1,34,12,1.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,,,,,,,,,,,,,,,69.961,72.892,space,2.902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,72.892,73.951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,75.128,76.184,,,,,,,,,,,,,,,,,,73.956,75.128,4,1.13,,0,0,0,29,1,38,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,77.727,78.783,,,,,,,,,,,,,,,,,,76.184,77.726,1,1.527,,0,1,1,10,1,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,80.649,81.682,,,,,,,,,,,,,,,,,,78.783,80.649,2,1.845,,0,2,2,25,1,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,83.048,84.081,,,,,,,,,,,,,,,,,,81.682,83.048,4,1.345,,0,3,3,38,1,34,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,85.357,86.413,,,,,,,,,,,,,,,,,,84.081,85.357,2,1.261,,0,4,4,39,1,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,87.913,88.946,,,,,,,,,,,,,,,,,,86.414,87.913,1,1.478,,0,5,5,3,1,10,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,90.513,91.546,,,,,,,,,,,,,,,,,,88.946,90.513,4,1.545,,0,6,6,7,1,28,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,93.312,94.344,,,,,,,,,,,,,,,,,,91.547,93.312,4,1.745,,0,7,7,11,1,30,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,95.911,96.943,,,,,,,,,,,,,,,,,,94.345,95.911,3,1.544,,0,8,8,20,1,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,98.853,99.909,,,,,,,,,,,,,,,,,,96.944,98.853,1,1.893,,0,9,9,33,1,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,101.775,102.808,,,,,,,,,,,,,,,,,,99.91,101.775,2,1.845,,0,10,10,27,1,30,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,104.318,105.374,,,,,,,,,,,,,,,,,,102.809,104.318,2,1.494,,0,11,11,32,1,36,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,106.717,107.773,,,,,,,,,,,,,,,,,,105.374,106.717,2,1.329,,0,12,12,18,1,24,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,109.417,110.472,,,,,,,,,,,,,,,,,,107.774,109.417,2,1.628,,0,13,13,14,1,26,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,113.505,114.538,,,,,,,,,,,,,,,,,,110.473,113.505,,,,0,14,14,1,1,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,115.647,116.704,,,,,,,,,,,,,,,,,,114.538,115.647,3,1.095,,0,15,15,42,1,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,118.57,119.603,,,,,,,,,,,,,,,,,,116.704,118.57,3,1.845,,0,16,16,34,1,24,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,121.345,122.402,,,,,,,,,,,,,,,,,,119.603,121.345,3,1.728,,0,17,17,22,1,34,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,124.046,125.101,,,,,,,,,,,,,,,,,,122.403,124.046,1,1.629,,0,18,18,31,1,14,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,126.667,127.7,,,,,,,,,,,,,,,,,,125.102,126.667,3,1.546,,0,19,19,4,1,24,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,128.833,129.873,,,,,,,,,,,,,,,,,,127.701,128.833,4,1.113,,0,20,20,24,1,40,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,131.077,132.132,,,,,,,,,,,,,,,,,,129.874,131.077,4,1.192,,0,21,21,16,1,36,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,133.332,134.365,,,,,,,,,,,,,,,,,,132.133,133.332,3,1.182,,0,22,22,26,1,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,135.931,136.964,,,,,,,,,,,,,,,,,,134.365,135.931,1,1.546,,0,23,23,6,1,16,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,138.73,139.763,,,,,,,,,,,,,,,,,,136.965,138.73,4,1.745,,0,24,24,13,1,40,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,140.907,141.962,,,,,,,,,,,,,,,,,,139.763,140.907,4,1.13,,0,25,25,9,1,22,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,142.739,143.795,,,,,,,,,,,,,,,,,,141.963,142.739,4,0.761,,0,26,26,5,1,38,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,145.262,146.294,,,,,,,,,,,,,,,,,,143.795,145.261,3,1.445,,0,27,27,0,1,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,147.805,148.86,,,,,,,,,,,,,,,,,,146.295,147.805,4,1.495,,0,28,28,35,1,32,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,150.337,151.392,,,,,,,,,,,,,,,,,,148.861,150.337,3,1.461,,0,29,29,37,1,28,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,152.969,154.025,,,,,,,,,,,,,,,,,,151.393,152.969,3,1.564,,0,30,30,8,1,34,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,155.668,156.724,,,,,,,,,,,,,,,,,,154.025,155.668,2,1.629,,0,31,31,12,1,18,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,158.333,159.39,,,,,,,,,,,,,,,,,,156.724,158.333,2,1.595,,0,32,32,41,1,22,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,161.733,162.789,,,,,,,,,,,,,,,,,,159.39,161.733,3,2.33,,0,33,33,21,1,28,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,164.255,165.288,,,,,,,,,,,,,,,,,,162.79,164.255,3,1.445,,0,34,34,15,1,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,167.064,168.12,,,,,,,,,,,,,,,,,,165.289,167.064,3,1.76,,0,35,35,40,1,40,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12424,001,20,m,2026-06-24_17h59.17.257,Mixed_Gamble_Task,2026.1.3,MacIntel,30.3030303,,,,,,,,,,,169.164,170.22,,,,,,,,,,,,,,,,,,168.121,169.164,3,1.028,,0,36,36,30,1,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
