instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,Alter,"Geschlecht (m, w, d)",date,expName,psychopyVersion,OS,frameRate,task_description.started,task_description.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,practice.started,practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,fixation.started,fixation.stopped,trial.started,trial.stopped,key_resp_5.keys,gamble_reps.thisRepN,gamble_reps.thisTrialN,gamble_reps.thisN,gamble_reps.thisIndex,gamble_reps.ran,gain_practice,loss_practice,key_resp_5.rt,key_resp_5.duration,trial_end.started,trial_end.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,teil_eins.started,teil_eins.stopped,key_resp_one.keys,key_resp_one.rt,key_resp_one.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,gain1,loss1,pause1.started,pause1.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,teil_zwei.started,teil_zwei.stopped,key_resp_two.keys,key_resp_two.rt,key_resp_two.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,gain2,loss2,pause2.started,pause2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,teil_drei.started,teil_drei.stopped,key_resp_three.keys,key_resp_three.rt,key_resp_three.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,gain3,loss3,transition.started,transition.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,survey.block_1/question1.I have healthy boundaries.,survey.block_1/question1.I have a lot of self-care.,"survey.block_1/question1.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question1.I balance my own needs with the needs of others.,survey.block_1/question1.I advocate for my own needs.,"survey.block_1/question1.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question1.Even though I give a lot to others, I know when to recharge.","survey.block_1/question1.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question1.I take good care of myself.,survey.block_1/question1.I prioritize my own personal projects over the demands of others.,survey.block_1/question3.I have healthy boundaries.,"survey.block_1/question3.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question3.I have a lot of self-care.,survey.block_1/question3.I advocate for my own needs.,"survey.block_1/question3.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question3.Even though I give a lot to others, I know when to recharge.","survey.block_1/question3.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question3.I prioritize my own personal projects over the demands of others.,survey.block_1/question3.I take good care of myself.,survey.block_1/question4.I have healthy boundaries.,survey.block_1/question4.I have a lot of self-care.,"survey.block_1/question4.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question4.I balance my own needs with the needs of others.,survey.block_1/question4.I advocate for my own needs.,"survey.block_1/question4.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question4.Even though I give a lot to others, I know when to recharge.","survey.block_1/question4.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question4.I take good care of myself.,survey.block_1/question4.I prioritize my own personal projects over the demands of others.,end.started,end.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,66.506,67.556,64.757,66.506,1,0,6,6,8,1,10,8,1.741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,69.057,70.106,67.557,69.056,4,0,7,7,4,1,36,18,1.488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,71.09,72.14,70.106,71.09,3,0,8,8,5,1,20,10,0.967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,73.59,74.639,72.14,73.59,2,0,9,9,0,1,12,6,1.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,74.645,77.107,space,2.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,77.107,78.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,79.39,80.44,,,,,,,,,,,,,,,,,,78.162,79.39,4,1.202,,0,0,0,22,1,34,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,81.674,82.723,,,,,,,,,,,,,,,,,,80.441,81.674,3,1.218,,0,1,1,14,1,26,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,84.474,85.523,,,,,,,,,,,,,,,,,,82.724,84.474,3,1.734,,0,2,2,25,1,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,86.491,87.54,,,,,,,,,,,,,,,,,,85.524,86.491,2,0.951,,0,3,3,20,1,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,88.724,89.774,,,,,,,,,,,,,,,,,,87.541,88.724,3,1.168,,0,4,4,21,1,28,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,91.39,92.439,,,,,,,,,,,,,,,,,,89.775,91.39,2,1.606,,0,5,5,41,1,22,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,93.791,94.84,,,,,,,,,,,,,,,,,,92.44,93.791,4,1.34,,0,6,6,8,1,34,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,95.974,97.024,,,,,,,,,,,,,,,,,,94.841,95.974,3,1.118,,0,7,7,19,1,32,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,98.858,99.907,,,,,,,,,,,,,,,,,,97.025,98.857,3,1.819,,0,8,8,26,1,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,101.241,102.291,,,,,,,,,,,,,,,,,,99.908,101.241,4,1.322,,0,9,9,28,1,26,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,103.407,104.457,,,,,,,,,,,,,,,,,,102.291,103.407,4,1.106,,0,10,10,13,1,40,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,105.625,106.674,,,,,,,,,,,,,,,,,,104.458,105.624,3,1.156,,0,11,11,35,1,32,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,107.958,109.008,,,,,,,,,,,,,,,,,,106.675,107.958,1,1.267,,0,12,12,18,1,24,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,111.241,112.291,,,,,,,,,,,,,,,,,,109.008,111.241,2,2.218,,0,13,13,29,1,38,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,113.074,114.124,,,,,,,,,,,,,,,,,,112.292,113.074,3,0.773,,0,14,14,4,1,24,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,115.141,116.191,,,,,,,,,,,,,,,,,,114.125,115.141,4,1.008,,0,15,15,40,1,40,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,117.025,118.075,,,,,,,,,,,,,,,,,,116.192,117.025,3,0.822,,0,16,16,27,1,30,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,119.225,120.275,,,,,,,,,,,,,,,,,,118.075,119.225,2,1.134,,0,17,17,42,1,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,121.475,122.525,,,,,,,,,,,,,,,,,,120.276,121.475,3,1.186,,0,18,18,3,1,10,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,123.442,124.492,,,,,,,,,,,,,,,,,,122.526,123.442,3,0.9,,0,19,19,11,1,30,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,125.275,126.325,,,,,,,,,,,,,,,,,,124.492,125.275,3,0.771,,0,20,20,7,1,28,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,127.775,128.825,,,,,,,,,,,,,,,,,,126.325,127.775,2,1.434,,0,21,21,6,1,16,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,129.709,130.758,,,,,,,,,,,,,,,,,,128.826,129.709,3,0.867,,0,22,22,0,1,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,131.476,132.525,,,,,,,,,,,,,,,,,,130.759,131.475,3,0.707,,0,23,23,12,1,18,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,134.009,135.058,,,,,,,,,,,,,,,,,,132.526,134.009,4,1.47,,0,24,24,5,1,38,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,135.908,136.958,,,,,,,,,,,,,,,,,,135.059,135.908,4,0.84,,0,25,25,38,1,34,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,138.643,139.692,,,,,,,,,,,,,,,,,,136.959,138.643,3,1.676,,0,26,26,37,1,28,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,141.459,142.509,,,,,,,,,,,,,,,,,,139.692,141.459,2,1.752,,0,27,27,31,1,14,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,145.226,146.275,,,,,,,,,,,,,,,,,,142.509,145.226,1,2.704,,0,28,28,23,1,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,147.842,148.892,,,,,,,,,,,,,,,,,,146.276,147.842,3,1.551,,0,29,29,33,1,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,149.792,150.842,,,,,,,,,,,,,,,,,,148.893,149.792,3,0.89,,0,30,30,34,1,24,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,151.776,152.825,,,,,,,,,,,,,,,,,,150.843,151.776,3,0.923,,0,31,31,1,1,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,153.543,154.592,,,,,,,,,,,,,,,,,,152.825,153.543,2,0.701,,0,32,32,15,1,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,155.826,156.876,,,,,,,,,,,,,,,,,,154.593,155.826,4,1.217,,0,33,33,2,1,32,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,157.643,158.693,,,,,,,,,,,,,,,,,,156.876,157.643,3,0.754,,0,34,34,10,1,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,159.909,160.959,,,,,,,,,,,,,,,,,,158.693,159.909,2,1.2,,0,35,35,32,1,36,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16432,001,20,w,2026-06-24_14h14.23.132,Mixed_Gamble_Task,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,162.076,163.126,,,,,,,,,,,,,,,,,,160.96,162.076,3,1.103,,0,36,36,9,1,22,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
