instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,Alter,"Geschlecht (m, w, d)",date,expName,psychopyVersion,OS,frameRate,task_description.started,task_description.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,practice.started,practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,fixation.started,fixation.stopped,trial.started,trial.stopped,key_resp_5.keys,gamble_reps.thisRepN,gamble_reps.thisTrialN,gamble_reps.thisN,gamble_reps.thisIndex,gamble_reps.ran,gain_practice,loss_practice,key_resp_5.rt,key_resp_5.duration,trial_end.started,trial_end.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,teil_eins.started,teil_eins.stopped,key_resp_one.keys,key_resp_one.rt,key_resp_one.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,gain1,loss1,pause1.started,pause1.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,teil_zwei.started,teil_zwei.stopped,key_resp_two.keys,key_resp_two.rt,key_resp_two.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,gain2,loss2,pause2.started,pause2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,teil_drei.started,teil_drei.stopped,key_resp_three.keys,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,gain3,loss3,key_resp_three.rt,key_resp_three.duration,transition.started,transition.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,survey.block_1/question1.I have healthy boundaries.,survey.block_1/question1.I have a lot of self-care.,"survey.block_1/question1.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question1.I balance my own needs with the needs of others.,survey.block_1/question1.I advocate for my own needs.,"survey.block_1/question1.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question1.Even though I give a lot to others, I know when to recharge.","survey.block_1/question1.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question1.I take good care of myself.,survey.block_1/question1.I prioritize my own personal projects over the demands of others.,survey.block_1/question3.I have healthy boundaries.,survey.block_1/question3.I have a lot of self-care.,"survey.block_1/question3.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question3.I balance my own needs with the needs of others.,survey.block_1/question3.I advocate for my own needs.,"survey.block_1/question3.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question3.Even though I give a lot to others, I know when to recharge.","survey.block_1/question3.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question3.I take good care of myself.,survey.block_1/question3.I prioritize my own personal projects over the demands of others.,survey.block_1/question4.I have healthy boundaries.,survey.block_1/question4.I have a lot of self-care.,"survey.block_1/question4.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question4.I balance my own needs with the needs of others.,survey.block_1/question4.I advocate for my own needs.,"survey.block_1/question4.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question4.Even though I give a lot to others, I know when to recharge.","survey.block_1/question4.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question4.I take good care of myself.,survey.block_1/question4.I prioritize my own personal projects over the demands of others.,end.started,end.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,59.334,60.385,56.885,59.334,2,0,6,6,7,1,20,17,2.434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,61.768,62.817,60.385,61.768,3,0,7,7,5,1,20,10,1.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,64.585,65.635,62.818,64.585,2,0,8,8,2,1,24,14,1.748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,66.984,68.035,65.635,66.984,2,0,9,9,0,1,12,6,1.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,,,,,,,,,,,,,,,68.038,70.667,space,2.593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,70.667,71.718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,72.852,73.9,,,,,,,,,,,,,,,,,,71.721,72.852,3,1.099,,0,0,0,17,1,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,75.601,76.651,,,,,,,,,,,,,,,,,,73.901,75.601,2,1.678,,0,1,1,29,1,38,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,78.051,79.1,,,,,,,,,,,,,,,,,,76.651,78.051,3,1.383,,0,2,2,34,1,24,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,81.167,82.218,,,,,,,,,,,,,,,,,,79.1,81.167,3,2.043,,0,3,3,8,1,34,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,85.234,86.284,,,,,,,,,,,,,,,,,,82.218,85.234,,,,0,4,4,33,1,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,87.984,89.034,,,,,,,,,,,,,,,,,,86.285,87.984,2,1.685,,0,5,5,21,1,28,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,90.718,91.767,,,,,,,,,,,,,,,,,,89.035,90.718,4,1.666,,0,6,6,13,1,40,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,93.218,94.268,,,,,,,,,,,,,,,,,,91.767,93.218,3,1.434,,0,7,7,37,1,28,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,95.317,96.367,,,,,,,,,,,,,,,,,,94.268,95.317,3,1.03,,0,8,8,41,1,22,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,97.851,98.901,,,,,,,,,,,,,,,,,,96.368,97.851,4,1.463,,0,9,9,1,1,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,100.1,101.151,,,,,,,,,,,,,,,,,,98.901,100.1,3,1.183,,0,10,10,16,1,36,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,101.984,103.033,,,,,,,,,,,,,,,,,,101.151,101.984,3,0.816,,0,11,11,0,1,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,104.801,105.85,,,,,,,,,,,,,,,,,,103.033,104.801,3,1.751,,0,12,12,20,1,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,107.467,108.517,,,,,,,,,,,,,,,,,,105.85,107.467,4,1.608,,0,13,13,10,1,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,110.433,111.484,,,,,,,,,,,,,,,,,,108.517,110.433,1,1.903,,0,14,14,3,1,10,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,112.551,113.601,,,,,,,,,,,,,,,,,,111.484,112.551,1,1.043,,0,15,15,6,1,16,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,114.468,115.517,,,,,,,,,,,,,,,,,,113.601,114.468,1,0.845,,0,16,16,12,1,18,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,117.133,118.184,,,,,,,,,,,,,,,,,,115.518,117.133,4,1.602,,0,17,17,5,1,38,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,120.483,121.534,,,,,,,,,,,,,,,,,,118.184,120.483,3,2.28,,0,18,18,39,1,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,124.083,125.134,,,,,,,,,,,,,,,,,,121.534,124.083,3,2.535,,0,19,19,40,1,40,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,126.601,127.65,,,,,,,,,,,,,,,,,,125.134,126.601,1,1.452,,0,20,20,36,1,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,128.866,129.917,,,,,,,,,,,,,,,,,,127.651,128.866,3,1.198,,0,21,21,22,1,34,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,131.25,132.3,,,,,,,,,,,,,,,,,,129.918,131.25,4,1.318,,0,22,22,2,1,32,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,133.549,134.6,,,,,,,,,,,,,,,,,,132.301,133.549,3,1.234,,0,23,23,30,1,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,136.95,138.001,,,,,,,,,,,,,,,,,,134.601,136.95,3,2.331,,0,24,24,24,1,40,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,139.583,140.633,,,,,,,,,,,,,,,,,,138.001,139.583,4,1.567,,0,25,25,15,1,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,141.6,142.651,,,,,,,,,,,,,,,,,,140.634,141.6,4,0.948,,0,26,26,9,1,22,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,143.35,144.4,,,,,,,,,,,,,,,,,,142.651,143.35,4,0.682,,0,27,27,35,1,32,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,146.151,147.2,,,,,,,,,,,,,,,,,,144.401,146.151,4,1.732,,0,28,28,32,1,36,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,148.567,149.617,,,,,,,,,,,,,,,,,,147.2,148.567,3,1.351,,0,29,29,19,1,32,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,150.733,151.784,,,,,,,,,,,,,,,,,,149.617,150.733,3,1.1,,0,30,30,23,1,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,152.634,153.683,,,,,,,,,,,,,,,,,,151.784,152.634,3,0.829,,0,31,31,26,1,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,154.6,155.649,,,,,,,,,,,,,,,,,,153.683,154.6,3,0.897,,0,32,32,4,1,24,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,156.65,157.7,,,,,,,,,,,,,,,,,,155.649,156.649,3,0.984,,0,33,33,25,1,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,159.267,160.317,,,,,,,,,,,,,,,,,,157.7,159.267,4,1.549,,0,34,34,11,1,30,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,161.8,162.849,,,,,,,,,,,,,,,,,,160.317,161.8,3,1.467,,0,35,35,28,1,26,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18103,001,23,w,2026-07-06_10h56.36.317,Mixed_Gamble_Task,2026.1.3,MacIntel,7.874015748,,,,,,,,,,,164.834,165.882,,,,,,,,,,,,,,,,,,162.849,164.834,4,1.962,,0,36,36,7,1,28,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
