instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,Alter,"Geschlecht (m, w, d)",date,expName,psychopyVersion,OS,frameRate,task_description.started,task_description.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,practice.started,practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,fixation.started,fixation.stopped,trial.started,trial.stopped,key_resp_5.keys,gamble_reps.thisRepN,gamble_reps.thisTrialN,gamble_reps.thisN,gamble_reps.thisIndex,gamble_reps.ran,gain_practice,loss_practice,key_resp_5.rt,key_resp_5.duration,trial_end.started,trial_end.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,teil_eins.started,teil_eins.stopped,key_resp_one.keys,key_resp_one.rt,key_resp_one.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,gain1,loss1,pause1.started,pause1.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,teil_zwei.started,teil_zwei.stopped,key_resp_two.keys,key_resp_two.rt,key_resp_two.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,gain2,loss2,pause2.started,pause2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,teil_drei.started,teil_drei.stopped,key_resp_three.keys,key_resp_three.rt,key_resp_three.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,gain3,loss3,transition.started,transition.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,survey.block_1/question1.I have healthy boundaries.,survey.block_1/question1.I have a lot of self-care.,"survey.block_1/question1.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question1.I balance my own needs with the needs of others.,survey.block_1/question1.I advocate for my own needs.,"survey.block_1/question1.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question1.Even though I give a lot to others, I know when to recharge.","survey.block_1/question1.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question1.I take good care of myself.,survey.block_1/question1.I prioritize my own personal projects over the demands of others.,survey.block_1/question3.I have healthy boundaries.,survey.block_1/question3.I have a lot of self-care.,survey.block_1/question3.I balance my own needs with the needs of others.,survey.block_1/question3.I advocate for my own needs.,"survey.block_1/question3.I have a healthy dose of self-respect, and don’t let people take advantage of me.","survey.block_1/question3.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question3.Even though I give a lot to others, I know when to recharge.","survey.block_1/question3.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question3.I take good care of myself.,survey.block_1/question3.I prioritize my own personal projects over the demands of others.,survey.block_1/question4.I have healthy boundaries.,survey.block_1/question4.I have a lot of self-care.,"survey.block_1/question4.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question4.I balance my own needs with the needs of others.,survey.block_1/question4.I advocate for my own needs.,"survey.block_1/question4.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question4.Even though I give a lot to others, I know when to recharge.","survey.block_1/question4.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question4.I take good care of myself.,survey.block_1/question4.I prioritize my own personal projects over the demands of others.,end.started,end.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,64.258,65.292,61.226,64.258,,0,6,6,1,1,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,66.626,67.658,65.293,66.626,3,0,7,7,7,1,20,17,1.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,68.226,69.259,67.658,68.226,4,0,8,8,6,1,28,16,0.538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,69.593,70.626,69.26,69.593,3,0,9,9,4,1,36,18,0.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,,,,,,,,,,,,,,,70.633,74.526,space,3.868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,74.526,75.559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,77.328,78.359,,,,,,,,,,,,,,,,,,75.564,77.327,4,1.718,,0,0,0,29,1,38,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,80.326,81.359,,,,,,,,,,,,,,,,,,78.361,80.326,2,1.952,,0,1,1,30,1,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,84.394,85.426,,,,,,,,,,,,,,,,,,81.36,84.394,,,,0,2,2,9,1,22,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,87.527,88.56,,,,,,,,,,,,,,,,,,85.427,87.527,4,2.092,,0,3,3,5,1,38,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,90.626,91.66,,,,,,,,,,,,,,,,,,88.561,90.626,2,2.051,,0,4,4,33,1,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,92.727,93.76,,,,,,,,,,,,,,,,,,91.661,92.727,4,1.034,,0,5,5,20,1,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,95.294,96.327,,,,,,,,,,,,,,,,,,93.761,95.294,4,1.499,,0,6,6,13,1,40,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,99.361,100.393,,,,,,,,,,,,,,,,,,96.328,99.361,,,,0,7,7,16,1,36,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,100.428,101.46,,,,,,,,,,,,,,,,,,100.393,100.427,1,0.009,,0,8,8,38,1,34,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,102.494,103.527,,,,,,,,,,,,,,,,,,101.461,102.494,1,1.02,,0,9,9,36,1,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,104.527,105.561,,,,,,,,,,,,,,,,,,103.527,104.527,1,0.97,,0,10,10,3,1,10,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,106.061,107.094,,,,,,,,,,,,,,,,,,105.561,106.061,1,0.481,,0,11,11,6,1,16,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,109.228,110.261,,,,,,,,,,,,,,,,,,107.095,109.228,4,2.122,,0,12,12,23,1,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,111.861,112.894,,,,,,,,,,,,,,,,,,110.262,111.861,3,1.584,,0,13,13,17,1,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,114.328,115.361,,,,,,,,,,,,,,,,,,112.895,114.328,1,1.423,,0,14,14,12,1,18,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,116.228,117.261,,,,,,,,,,,,,,,,,,115.361,116.228,1,0.841,,0,15,15,22,1,34,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,119.295,120.327,,,,,,,,,,,,,,,,,,117.262,119.295,1,2.004,,0,16,16,18,1,24,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,121.029,122.062,,,,,,,,,,,,,,,,,,120.327,121.028,1,0.672,,0,17,17,41,1,22,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,124.062,125.095,,,,,,,,,,,,,,,,,,122.062,124.062,3,1.981,,0,18,18,7,1,28,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,126.429,127.462,,,,,,,,,,,,,,,,,,125.095,126.429,1,1.305,,0,19,19,24,1,40,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,129.762,130.795,,,,,,,,,,,,,,,,,,127.462,129.762,4,2.291,,0,20,20,15,1,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,133.428,134.462,,,,,,,,,,,,,,,,,,130.796,133.428,4,2.615,,0,21,21,31,1,14,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,135.329,136.362,,,,,,,,,,,,,,,,,,134.463,135.329,1,0.842,,0,22,22,10,1,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,136.996,138.029,,,,,,,,,,,,,,,,,,136.363,136.996,1,0.605,,0,23,23,27,1,30,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,138.929,139.962,,,,,,,,,,,,,,,,,,138.029,138.929,1,0.883,,0,24,24,40,1,40,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,140.863,141.895,,,,,,,,,,,,,,,,,,139.962,140.863,1,0.874,,0,25,25,19,1,32,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,143.162,144.196,,,,,,,,,,,,,,,,,,141.895,143.162,3,1.24,,0,26,26,34,1,24,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,146.229,147.262,,,,,,,,,,,,,,,,,,144.196,146.229,4,2.016,,0,27,27,28,1,26,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,147.929,148.962,,,,,,,,,,,,,,,,,,147.263,147.929,4,0.65,,0,28,28,42,1,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,151.396,152.429,,,,,,,,,,,,,,,,,,148.963,151.396,1,2.399,,0,29,29,1,1,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,152.73,153.763,,,,,,,,,,,,,,,,,,152.43,152.73,3,0.273,,0,30,30,32,1,36,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,154.096,155.129,,,,,,,,,,,,,,,,,,153.763,154.096,1,0.321,,0,31,31,11,1,30,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,155.496,156.53,,,,,,,,,,,,,,,,,,155.13,155.496,4,0.347,,0,32,32,37,1,28,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,157.063,158.096,,,,,,,,,,,,,,,,,,156.53,157.063,1,0.519,,0,33,33,25,1,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,158.496,159.53,,,,,,,,,,,,,,,,,,158.097,158.496,3,0.379,,0,34,34,4,1,24,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,159.863,160.896,,,,,,,,,,,,,,,,,,159.53,159.863,4,0.315,,0,35,35,26,1,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17089,001,20,w,2026-06-24_11h14.45.979,Mixed_Gamble_Task,2026.1.3,MacIntel,142.8571429,,,,,,,,,,,161.33,162.363,,,,,,,,,,,,,,,,,,160.897,161.33,2,0.408,,0,36,36,0,1,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
