instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,Alter,"Geschlecht (m, w, d)",date,expName,psychopyVersion,OS,frameRate,task_description.started,task_description.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,practice.started,practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,fixation.started,fixation.stopped,trial.started,trial.stopped,key_resp_5.keys,gamble_reps.thisRepN,gamble_reps.thisTrialN,gamble_reps.thisN,gamble_reps.thisIndex,gamble_reps.ran,gain_practice,loss_practice,key_resp_5.rt,key_resp_5.duration,trial_end.started,trial_end.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,teil_eins.started,teil_eins.stopped,key_resp_one.keys,key_resp_one.rt,key_resp_one.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,gain1,loss1,pause1.started,pause1.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,teil_zwei.started,teil_zwei.stopped,key_resp_two.keys,key_resp_two.rt,key_resp_two.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,gain2,loss2,pause2.started,pause2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,teil_drei.started,teil_drei.stopped,key_resp_three.keys,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,gain3,loss3,key_resp_three.rt,key_resp_three.duration,transition.started,transition.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,survey.block_1/question1.I have healthy boundaries.,survey.block_1/question1.I advocate for my own needs.,"survey.block_1/question1.Even though I give a lot to others, I know when to recharge.","survey.block_1/question1.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question1.I take good care of myself.,survey.block_1/question1.I prioritize my own personal projects over the demands of others.,survey.block_1/question1.I have a lot of self-care.,"survey.block_1/question1.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question1.I balance my own needs with the needs of others.,"survey.block_1/question1.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.",survey.block_1/question3.I have healthy boundaries.,survey.block_1/question3.I have a lot of self-care.,"survey.block_1/question3.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question3.I balance my own needs with the needs of others.,survey.block_1/question3.I advocate for my own needs.,"survey.block_1/question3.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question3.Even though I give a lot to others, I know when to recharge.","survey.block_1/question3.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question3.I take good care of myself.,survey.block_1/question3.I prioritize my own personal projects over the demands of others.,survey.block_1/question4.I have healthy boundaries.,survey.block_1/question4.I have a lot of self-care.,"survey.block_1/question4.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question4.I balance my own needs with the needs of others.,survey.block_1/question4.I advocate for my own needs.,"survey.block_1/question4.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question4.Even though I give a lot to others, I know when to recharge.","survey.block_1/question4.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question4.I take good care of myself.,survey.block_1/question4.I prioritize my own personal projects over the demands of others.,end.started,end.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,108,109.049,106.35,108,1,0,6,6,8,1,10,8,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,110.883,111.932,109.049,110.883,1,0,7,7,7,1,20,17,1.819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,113.999,115.05,111.933,113.999,2,0,8,8,0,1,12,6,2.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,116.483,117.533,115.05,116.483,3,0,9,9,9,1,34,12,1.418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,117.533,143.984,space,26.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,143.984,145.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,147.067,148.117,,,,,,,,,,,,,,,,,,145.037,147.067,2,2.002,,0,0,0,12,1,18,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,150.25,151.3,,,,,,,,,,,,,,,,,,148.118,150.25,1,2.126,,0,1,1,6,1,16,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,153.917,154.967,,,,,,,,,,,,,,,,,,151.3,153.917,3,2.601,,0,2,2,30,1,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,157.518,158.567,,,,,,,,,,,,,,,,,,154.967,157.518,3,2.533,,0,3,3,14,1,26,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,160.817,161.867,,,,,,,,,,,,,,,,,,158.568,160.817,3,2.237,,0,4,4,40,1,40,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,164.451,165.501,,,,,,,,,,,,,,,,,,161.868,164.451,3,2.567,,0,5,5,11,1,30,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,167.534,168.584,,,,,,,,,,,,,,,,,,165.501,167.534,3,2.024,,0,6,6,37,1,28,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,170.367,171.418,,,,,,,,,,,,,,,,,,168.584,170.367,1,1.771,,0,7,7,33,1,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,173.368,174.418,,,,,,,,,,,,,,,,,,171.418,173.368,1,1.938,,0,8,8,1,1,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,177.351,178.401,,,,,,,,,,,,,,,,,,174.418,177.351,3,2.916,,0,9,9,15,1,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,179.985,181.035,,,,,,,,,,,,,,,,,,178.401,179.985,1,1.57,,0,10,10,36,1,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,184.051,185.101,,,,,,,,,,,,,,,,,,181.035,184.051,3,3.001,,0,11,11,23,1,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,187.435,188.485,,,,,,,,,,,,,,,,,,185.101,187.435,3,2.326,,0,12,12,8,1,34,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,190.902,191.952,,,,,,,,,,,,,,,,,,188.485,190.902,1,2.408,,0,13,13,17,1,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,194.735,195.785,,,,,,,,,,,,,,,,,,191.953,194.735,3,2.766,,0,14,14,32,1,36,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,198.802,199.852,,,,,,,,,,,,,,,,,,195.785,198.802,,,,0,15,15,28,1,26,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,201.986,203.035,,,,,,,,,,,,,,,,,,199.852,201.986,3,2.116,,0,16,16,21,1,28,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,204.435,205.486,,,,,,,,,,,,,,,,,,203.035,204.435,1,1.385,,0,17,17,10,1,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,206.985,208.035,,,,,,,,,,,,,,,,,,205.486,206.985,4,1.483,,0,18,18,35,1,32,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,209.736,210.785,,,,,,,,,,,,,,,,,,208.036,209.736,3,1.687,,0,19,19,34,1,24,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,212.385,213.436,,,,,,,,,,,,,,,,,,210.785,212.385,3,1.593,,0,20,20,20,1,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,215.752,216.802,,,,,,,,,,,,,,,,,,213.436,215.752,1,2.304,,0,21,21,18,1,24,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,218.403,219.452,,,,,,,,,,,,,,,,,,216.803,218.403,4,1.594,,0,22,22,5,1,38,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,222.002,223.052,,,,,,,,,,,,,,,,,,219.453,222.002,3,2.544,,0,23,23,0,1,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,225.636,226.686,,,,,,,,,,,,,,,,,,223.053,225.636,1,2.566,,0,24,24,3,1,10,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,228.886,229.936,,,,,,,,,,,,,,,,,,226.687,228.886,3,2.183,,0,25,25,42,1,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,231.769,232.819,,,,,,,,,,,,,,,,,,229.937,231.769,4,1.816,,0,26,26,38,1,34,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,234.97,236.02,,,,,,,,,,,,,,,,,,232.82,234.97,3,2.137,,0,27,27,27,1,30,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,237.82,238.87,,,,,,,,,,,,,,,,,,236.02,237.82,4,1.793,,0,28,28,24,1,40,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,240.353,241.403,,,,,,,,,,,,,,,,,,238.87,240.353,3,1.47,,0,29,29,19,1,32,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,243.003,244.053,,,,,,,,,,,,,,,,,,241.403,243.003,4,1.593,,0,30,30,9,1,22,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,245.103,246.153,,,,,,,,,,,,,,,,,,244.053,245.103,4,1.039,,0,31,31,2,1,32,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,247.47,248.519,,,,,,,,,,,,,,,,,,246.153,247.47,3,1.3,,0,32,32,4,1,24,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,250.32,251.37,,,,,,,,,,,,,,,,,,248.52,250.32,3,1.788,,0,33,33,22,1,34,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,252.819,253.87,,,,,,,,,,,,,,,,,,251.37,252.819,3,1.442,,0,34,34,25,1,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,255.987,257.037,,,,,,,,,,,,,,,,,,253.87,255.987,2,2.11,,0,35,35,39,1,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17158,001,37,w,2026-06-23_15h53.50.045,Mixed_Gamble_Task,2026.1.3,Win32,60.0240096,,,,,,,,,,,258.937,259.987,,,,,,,,,,,,,,,,,,257.038,258.937,4,1.887,,0,36,36,29,1,38,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
