instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,Alter,"Geschlecht (m, w, d)",date,expName,psychopyVersion,OS,frameRate,task_description.started,task_description.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,practice.started,practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,fixation.started,fixation.stopped,trial.started,trial.stopped,key_resp_5.keys,gamble_reps.thisRepN,gamble_reps.thisTrialN,gamble_reps.thisN,gamble_reps.thisIndex,gamble_reps.ran,gain_practice,loss_practice,key_resp_5.rt,key_resp_5.duration,trial_end.started,trial_end.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,teil_eins.started,teil_eins.stopped,key_resp_one.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,gain1,loss1,key_resp_one.rt,key_resp_one.duration,pause1.started,pause1.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,teil_zwei.started,teil_zwei.stopped,key_resp_two.keys,key_resp_two.rt,key_resp_two.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,gain2,loss2,pause2.started,pause2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,teil_drei.started,teil_drei.stopped,key_resp_three.keys,key_resp_three.rt,key_resp_three.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,gain3,loss3,transition.started,transition.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,survey.block_1/question1.I have healthy boundaries.,survey.block_1/question1.I have a lot of self-care.,"survey.block_1/question1.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question1.I balance my own needs with the needs of others.,survey.block_1/question1.I advocate for my own needs.,"survey.block_1/question1.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question1.Even though I give a lot to others, I know when to recharge.","survey.block_1/question1.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question1.I take good care of myself.,survey.block_1/question1.I prioritize my own personal projects over the demands of others.,survey.block_1/question3.I have healthy boundaries.,survey.block_1/question3.I have a lot of self-care.,"survey.block_1/question3.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question3.I balance my own needs with the needs of others.,survey.block_1/question3.I advocate for my own needs.,"survey.block_1/question3.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question3.Even though I give a lot to others, I know when to recharge.","survey.block_1/question3.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question3.I take good care of myself.,survey.block_1/question3.I prioritize my own personal projects over the demands of others.,survey.block_1/question4.I have healthy boundaries.,survey.block_1/question4.I have a lot of self-care.,"survey.block_1/question4.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question4.I balance my own needs with the needs of others.,survey.block_1/question4.I advocate for my own needs.,"survey.block_1/question4.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question4.Even though I give a lot to others, I know when to recharge.","survey.block_1/question4.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question4.I take good care of myself.,survey.block_1/question4.I prioritize my own personal projects over the demands of others.,end.started,end.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration
0,1.094,space,1.075,,15892,001,21,w,2026-07-01_11h03.44.808,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,15892,001,21,w,2026-07-01_11h03.44.808,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,1.094,21.112,space,19.974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,15892,001,21,w,2026-07-01_11h03.44.808,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,21.112,23.962,space,2.823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,15892,001,21,w,2026-07-01_11h03.44.808,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,23.966,25.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,15892,001,21,w,2026-07-01_11h03.44.808,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,28.028,29.077,25.017,28.028,,0,0,0,1,1,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,15892,001,21,w,2026-07-01_11h03.44.808,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,32.095,33.144,29.078,32.095,,0,1,1,6,1,28,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,15892,001,21,w,2026-07-01_11h03.44.808,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,36.161,37.21,33.145,36.161,,0,2,2,7,1,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,15892,001,21,w,2026-07-01_11h03.44.808,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,39.678,40.728,37.211,39.678,1,0,3,3,4,1,36,18,2.453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,15892,001,21,w,2026-07-01_11h03.44.808,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,43.311,44.36,40.728,43.311,3,0,4,4,0,1,12,6,2.568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,15892,001,21,w,2026-07-01_11h03.44.808,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,44.861,45.911,44.361,44.861,2,0,5,5,5,1,20,10,0.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,15892,001,21,w,2026-07-01_11h03.44.808,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,46.411,47.461,45.911,46.411,2,0,6,6,9,1,34,12,0.482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,15892,001,21,w,2026-07-01_11h03.44.808,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,48.311,49.361,47.461,48.311,2,0,7,7,3,1,30,7,0.832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,15892,001,21,w,2026-07-01_11h03.44.808,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,51.595,52.644,49.362,51.595,3,0,8,8,8,1,10,8,2.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,15892,001,21,w,2026-07-01_11h03.44.808,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,53.894,54.944,52.645,53.894,3,0,9,9,2,1,24,14,1.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,15892,001,21,w,2026-07-01_11h03.44.808,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,54.95,57.045,space,2.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,15892,001,21,w,2026-07-01_11h03.44.808,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,57.045,58.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,15892,001,21,w,2026-07-01_11h03.44.808,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,61.112,62.161,,,,,,,,,,,,,,,,,,58.098,61.112,,0,0,0,29,1,38,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,15892,001,21,w,2026-07-01_11h03.44.808,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,63.145,64.195,,,,,,,,,,,,,,,,,,62.162,63.145,3,0,1,1,35,1,32,8,0.965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,15892,001,21,w,2026-07-01_11h03.44.808,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,65.178,66.228,,,,,,,,,,,,,,,,,,64.195,65.178,3,0,2,2,4,1,24,12,0.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,15892,001,21,w,2026-07-01_11h03.44.808,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,67.411,68.461,,,,,,,,,,,,,,,,,,66.228,67.411,3,0,3,3,23,1,12,6,1.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,15892,001,21,w,2026-07-01_11h03.44.808,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,70.144,71.194,,,,,,,,,,,,,,,,,,68.461,70.144,3,0,4,4,27,1,30,17,1.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,15892,001,21,w,2026-07-01_11h03.44.808,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,72.245,73.294,,,,,,,,,,,,,,,,,,71.195,72.244,4,0,5,5,5,1,38,7,1.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,15892,001,21,w,2026-07-01_11h03.44.808,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,74.195,75.244,,,,,,,,,,,,,,,,,,73.295,74.195,4,0,6,6,2,1,32,6,0.882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
