instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,Alter,"Geschlecht (m, w, d)",date,expName,psychopyVersion,OS,frameRate,task_description.started,task_description.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,practice.started,practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,fixation.started,fixation.stopped,trial.started,trial.stopped,key_resp_5.keys,gamble_reps.thisRepN,gamble_reps.thisTrialN,gamble_reps.thisN,gamble_reps.thisIndex,gamble_reps.ran,gain_practice,loss_practice,key_resp_5.rt,key_resp_5.duration,trial_end.started,trial_end.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,teil_eins.started,teil_eins.stopped,key_resp_one.keys,key_resp_one.rt,key_resp_one.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,gain1,loss1,pause1.started,pause1.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,teil_zwei.started,teil_zwei.stopped,key_resp_two.keys,key_resp_two.rt,key_resp_two.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,gain2,loss2,pause2.started,pause2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,teil_drei.started,teil_drei.stopped,key_resp_three.keys,key_resp_three.rt,key_resp_three.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,gain3,loss3,transition.started,transition.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,survey.block_1/question1.I have healthy boundaries.,survey.block_1/question1.I have a lot of self-care.,"survey.block_1/question1.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question1.I balance my own needs with the needs of others.,survey.block_1/question1.I advocate for my own needs.,"survey.block_1/question1.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question1.Even though I give a lot to others, I know when to recharge.","survey.block_1/question1.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question1.I prioritize my own personal projects over the demands of others.,survey.block_1/question1.I take good care of myself.,survey.block_1/question3.I have healthy boundaries.,survey.block_1/question3.I have a lot of self-care.,"survey.block_1/question3.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question3.I balance my own needs with the needs of others.,survey.block_1/question3.I advocate for my own needs.,"survey.block_1/question3.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question3.Even though I give a lot to others, I know when to recharge.","survey.block_1/question3.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question3.I take good care of myself.,survey.block_1/question3.I prioritize my own personal projects over the demands of others.,survey.block_1/question4.I have healthy boundaries.,survey.block_1/question4.I have a lot of self-care.,survey.block_1/question4.I balance my own needs with the needs of others.,"survey.block_1/question4.I have a healthy dose of self-respect, and don’t let people take advantage of me.","survey.block_1/question4.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.",survey.block_1/question4.I advocate for my own needs.,"survey.block_1/question4.Even though I give a lot to others, I know when to recharge.","survey.block_1/question4.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question4.I take good care of myself.,survey.block_1/question4.I prioritize my own personal projects over the demands of others.,end.started,end.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,71.649,72.7,69.983,71.649,2,0,6,6,2,1,24,14,1.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,74.6,75.648,72.7,74.599,2,0,7,7,1,1,18,9,1.884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,77.799,78.849,75.649,77.798,4,0,8,8,8,1,10,8,2.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,81.864,82.932,78.85,81.864,,0,9,9,4,1,36,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,,,,,,,,,,,,,,,82.932,90.242,space,7.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,90.242,91.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,92.86,93.896,,,,,,,,,,,,,,,,,,91.29,92.86,2,1.507,,0,0,0,5,1,38,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,95.189,96.218,,,,,,,,,,,,,,,,,,93.898,95.189,3,1.257,,0,1,1,2,1,32,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,97.852,98.908,,,,,,,,,,,,,,,,,,96.219,97.852,3,1.591,,0,2,2,8,1,34,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,100.033,101.081,,,,,,,,,,,,,,,,,,98.909,100.032,3,1.079,,0,3,3,38,1,34,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,102.233,103.278,,,,,,,,,,,,,,,,,,101.082,102.232,2,1.13,,0,4,4,22,1,34,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,104.362,105.411,,,,,,,,,,,,,,,,,,103.279,104.362,1,1.065,,0,5,5,12,1,18,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,106.601,107.643,,,,,,,,,,,,,,,,,,105.411,106.601,1,1.176,,0,6,6,9,1,22,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,108.829,109.883,,,,,,,,,,,,,,,,,,107.645,108.829,1,1.127,,0,7,7,33,1,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,111.384,112.402,,,,,,,,,,,,,,,,,,109.883,111.384,2,1.455,,0,8,8,17,1,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,113.559,114.597,,,,,,,,,,,,,,,,,,112.403,113.559,2,1.115,,0,9,9,37,1,28,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,115.743,116.78,,,,,,,,,,,,,,,,,,114.598,115.743,2,1.085,,0,10,10,32,1,36,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,118.068,119.109,,,,,,,,,,,,,,,,,,116.781,118.066,4,1.23,,0,11,11,13,1,40,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,120.425,121.471,,,,,,,,,,,,,,,,,,119.11,120.424,2,1.249,,0,12,12,24,1,40,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,123.049,124.085,,,,,,,,,,,,,,,,,,121.471,123.048,4,1.531,,0,13,13,3,1,10,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,125.511,126.556,,,,,,,,,,,,,,,,,,124.089,125.51,1,1.375,,0,14,14,28,1,26,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,127.745,128.788,,,,,,,,,,,,,,,,,,126.558,127.745,1,1.137,,0,15,15,21,1,28,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,130.32,131.36,,,,,,,,,,,,,,,,,,128.788,130.32,3,1.48,,0,16,16,10,1,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,134.342,135.39,,,,,,,,,,,,,,,,,,131.36,134.342,1,2.949,,0,17,17,26,1,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,137.57,138.608,,,,,,,,,,,,,,,,,,135.391,137.57,1,2.166,,0,18,18,7,1,28,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,139.825,140.867,,,,,,,,,,,,,,,,,,138.61,139.825,1,1.197,,0,19,19,11,1,30,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,142.446,143.491,,,,,,,,,,,,,,,,,,140.868,142.446,2,1.539,,0,20,20,4,1,24,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,144.981,146.02,,,,,,,,,,,,,,,,,,143.492,144.98,3,1.473,,0,21,21,35,1,32,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,147.42,148.464,,,,,,,,,,,,,,,,,,146.021,147.42,3,1.355,,0,22,22,16,1,36,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,151.241,152.273,,,,,,,,,,,,,,,,,,148.464,151.241,1,2.737,,0,23,23,18,1,24,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,153.557,154.606,,,,,,,,,,,,,,,,,,152.274,153.556,2,1.265,,0,24,24,19,1,32,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,156.693,157.739,,,,,,,,,,,,,,,,,,154.607,156.691,2,2.069,,0,25,25,29,1,38,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,159.59,160.637,,,,,,,,,,,,,,,,,,157.741,159.59,1,1.832,,0,26,26,27,1,30,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,163.075,164.121,,,,,,,,,,,,,,,,,,160.638,163.075,1,2.422,,0,27,27,30,1,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,165.49,166.538,,,,,,,,,,,,,,,,,,164.122,165.49,1,1.35,,0,28,28,31,1,14,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,168.589,169.638,,,,,,,,,,,,,,,,,,166.539,168.589,2,2.035,,0,29,29,40,1,40,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,172.654,173.702,,,,,,,,,,,,,,,,,,169.638,172.653,,,,0,30,30,14,1,26,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,174.905,175.953,,,,,,,,,,,,,,,,,,173.704,174.904,1,1.184,,0,31,31,39,1,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,178.071,179.12,,,,,,,,,,,,,,,,,,175.954,178.071,1,2.099,,0,32,32,15,1,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,181.368,182.418,,,,,,,,,,,,,,,,,,179.12,181.367,1,2.216,,0,33,33,6,1,16,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,184.721,185.769,,,,,,,,,,,,,,,,,,182.419,184.72,1,2.284,,0,34,34,0,1,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,187.47,188.514,,,,,,,,,,,,,,,,,,185.769,187.47,1,1.682,,0,35,35,1,1,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9208,001,22,d,2026-07-03_11h49.13.138,Mixed_Gamble_Task,2026.1.3,Win32,20.0080032,,,,,,,,,,,189.939,190.977,,,,,,,,,,,,,,,,,,188.518,189.938,1,1.404,,0,36,36,34,1,24,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
